Experiment_ID,Pressure-die distance,Pressure-die boost,Mandrel retraction timing,Collet boost
186,1.0,0.0,0.5,0.20000000000000023
187,1.0,0.0,0.5,0.20000000000000023
68,1.0,0.0,0.5,0.5000000000000006
102,1.0,0.0,0.5,0.5000000000000006
133,1.0,0.0,0.5,0.5000000000000006
155,1.0,0.0,0.5,0.5000000000000006
84,1.0,0.0,0.5,0.7000000000000007
111,1.0,0.0,0.5,0.7000000000000007
180,1.0,0.0,0.5,0.7000000000000007
181,1.0,0.0,0.5,0.7000000000000007
71,1.0,0.0,0.5,1.0
93,1.0,0.0,0.5,1.0
136,1.0,0.0,0.5,1.0
164,1.0,0.0,0.5,1.0
61,1.0,0.0,1.0,0.0
100,1.0,0.0,1.0,0.0
131,1.0,0.0,1.0,0.0
150,1.0,0.0,1.0,0.0
153,1.0,0.0,1.0,0.0
86,1.0,0.0,1.0,0.20000000000000023
113,1.0,0.0,1.0,0.20000000000000023
188,1.0,0.0,1.0,0.20000000000000023
189,1.0,0.0,1.0,0.20000000000000023
67,1.0,0.0,1.0,0.5000000000000006
101,1.0,0.0,1.0,0.5000000000000006
132,1.0,0.0,1.0,0.5000000000000006
156,1.0,0.0,1.0,0.5000000000000006
85,1.0,0.0,1.0,0.7000000000000007
112,1.0,0.0,1.0,0.7000000000000007
178,1.0,0.0,1.0,0.7000000000000007
179,1.0,0.0,1.0,0.7000000000000007
72,1.0,0.0,1.0,1.0
94,1.0,0.0,1.0,1.0
137,1.0,0.0,1.0,1.0
163,1.0,0.0,1.0,1.0
58,1.0,0.8947368421052632,0.0,0.0
89,1.0,0.8947368421052632,0.0,0.0
146,1.0,0.8947368421052632,0.0,0.0
147,1.0,0.8947368421052632,0.0,0.0
119,1.0,0.8947368421052632,0.2,0.0
120,1.0,0.8947368421052632,0.2,0.0
121,1.0,0.8947368421052632,0.2,0.0
122,1.0,0.8947368421052632,0.2,0.0
123,1.0,0.8947368421052632,0.2,0.0
62,1.0,0.8947368421052632,0.5,0.0
98,1.0,0.8947368421052632,0.5,0.0
145,1.0,0.8947368421052632,0.5,0.0
148,1.0,0.8947368421052632,0.5,0.0
63,1.0,0.8947368421052632,1.0,0.0
97,1.0,0.8947368421052632,1.0,0.0
144,1.0,0.8947368421052632,1.0,0.0
149,1.0,0.8947368421052632,1.0,0.0
77,1.0,0.9157894736842106,0.0,0.20000000000000023
116,1.0,0.9157894736842106,0.0,0.20000000000000023
168,1.0,0.9157894736842106,0.0,0.20000000000000023
174,1.0,0.9157894736842106,0.0,0.20000000000000023
78,1.0,0.9157894736842106,0.5,0.20000000000000023
117,1.0,0.9157894736842106,0.5,0.20000000000000023
167,1.0,0.9157894736842106,0.5,0.20000000000000023
173,1.0,0.9157894736842106,0.5,0.20000000000000023
