Experiment_ID,Angle[degree]ORDistance[mm],Secondary-axis [mm],Main-axis [mm],Out-of-roundness [-],Collapse [mm]
4,33.0,22.04155398770733,21.43920926424796,0.0273922009524262,-0.5504338646667364
4,34.0,22.031115145288517,21.445240924337707,0.0266431891375457,-0.5444022045769898
4,35.0,22.02013957316915,21.44438184625232,0.0261831319199426,-0.5452612826623806
4,36.0,22.01546250602173,21.44253219433556,0.0260545525148982,-0.5471109345791412
4,37.0,22.01748807590171,21.429329515870688,0.0267470716365396,-0.5603136130440092
4,38.0,22.01895774033214,21.406902672627183,0.0278337881209246,-0.5827404562875138
4,39.0,22.025538502760504,21.38875144842447,0.0289584988079551,-0.6008916804902285
4,40.0,22.0318357371447,21.373332873157462,0.0299460459693114,-0.6163102557572309
4,41.0,22.03605632943413,21.359190094103138,0.0307811378003203,-0.6304530348115591
4,42.0,22.03923329987861,21.35306561892041,0.0312041299140478,-0.6365775099942859
4,43.0,22.04542116500518,21.351255946556268,0.0315678255613042,-0.6383871823584286
4,44.0,22.055064284572165,21.35564311865595,0.0318068447866954,-0.6340000102587453
4,44.68000000000001,22.059870358230185,21.360710222909287,0.0317949741713432,-0.6289329060054101
5,0.0,22.18114776623359,21.5642644759898,0.0279938555574189,-0.4721173642494882
5,1.0,22.17573390218122,21.61855169915291,0.0252846500422712,-0.4178301410863803
5,2.0,22.17458302450749,21.695695580306136,0.0217316729975557,-0.3406862599331539
5,3.0,22.177932160679383,21.766518229297336,0.0186697586910927,-0.2698636109419539
5,4.0,22.18629175019767,21.826341152847217,0.0163343783003964,-0.2100406873920732
5,5.0,22.196490989311982,21.864651846552277,0.0150586945336807,-0.1717299936870162
5,6.0,22.202146239143,21.886980996436037,0.0143020412784581,-0.1494008438032565
5,7.0,22.20158130532635,21.846222519691903,0.0161260041784876,-0.1901593205473872
5,8.0,22.19367763621012,21.781778984338484,0.0186917550647761,-0.2546028559008064
5,9.0,22.183100052730158,21.709303165727352,0.021500666054789,-0.327078674511938
5,10.0,22.18798967686034,21.638399308242896,0.0249401363890813,-0.3979825319963943
5,11.0,22.192879367873577,21.575073030988467,0.0280357429529094,-0.4613088092508235
5,12.0,22.181438057468853,21.52615643583656,0.0297363526545778,-0.5102254044027283
5,13.0,22.163611352993676,21.492192735993267,0.0304686414434137,-0.5441891042460227
5,14.0,22.146377446582093,21.46807108852117,0.0307812036920827,-0.5683107517181156
5,15.0,22.13509499447857,21.4667921340098,0.0303272499684329,-0.5695897062294897
5,16.0,22.12285179050607,21.479100118057072,0.0292131293202353,-0.5572817221822177
5,17.0,22.114314448248983,21.495632479258617,0.0280754787004384,-0.5407493609806728
